"Institution Name (RSSD ID)","Location","Total Assets 3","Date 3"
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,099,204",2015-09-30
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$15,097,919",2015-09-30
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$14,950,100",2015-09-30
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$14,635,439",2015-09-30
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,568,324",2015-09-30
"WESTERN ALLIANCE BANCORPORATION (2349815)","PHOENIX, AZ","$13,955,570",2015-09-30
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$13,786,921",2015-09-30
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,820,989",2015-09-30
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$12,749,966",2015-09-30
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$12,556,929",2015-09-30
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$12,519,193",2015-09-30
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$12,390,276",2015-09-30
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX","$12,389,456",2015-09-30
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$12,371,566",2015-09-30
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$12,368,842",2015-09-30
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$12,052,216",2015-09-30
"OLD NATIONAL BANCORP (1098303)","EVANSVILLE, IN","$11,915,290",2015-09-30
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$11,770,295",2015-09-30
"MIDLAND FINANCIAL CO. (2568278)","OKLAHOMA CITY, OK","$11,717,650",2015-09-30
"STERLING BANCORP (3083291)","MONTEBELLO, NY","$11,606,117",2015-09-30
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$11,573,466",2015-09-30
"NORDSTROM, INC. (1760589)","SEATTLE, WA","$10,955,052",2015-09-30
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,848,819",2015-09-30
"BREMER FINANCIAL CORPORATION (1020180)","SAINT PAUL, MN","$10,325,850",2015-09-30
