"Institution Name (RSSD ID)","Location","Total Assets 0","Date 0","Total Assets 1","Date 1","Total Assets 2","Date 2","Total Assets 3","Date 3","Total Assets 4","Date 4","Total Assets 5","Date 5","Total Assets 6","Date 6","Total Assets 7","Date 7","Total Assets 8","Date 8","Total Assets 9","Date 9","Total Assets 10","Date 10","Total Assets 11","Date 11","Total Assets 12","Date 12","Total Assets 13","Date 13","Total Assets 14","Date 14"
"STERLING FINANCIAL CORPORATION (3152245)","SPOKANE, WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$10,240,431",2014-03-31,"$10,327,642",2013-12-31,"$10,012,700",2013-09-30,NA,NA,NA,NA,NA,NA
"STIFEL FINANCIAL CORP. (3063622)","SAINT LOUIS, MO","$15,248,777",2016-06-30,"$14,213,728",2016-03-31,"$13,335,915",2015-12-31,NA,NA,"$10,139,542",2015-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$199,276,480",2016-06-30,"$194,253,274",2016-03-31,"$190,989,105",2015-12-31,"$187,255,650",2015-09-30,"$189,107,850",2015-06-30,"$190,223,316",2015-03-31,"$190,446,755",2014-12-31,"$186,860,815",2014-09-30,"$182,585,899",2014-06-30,"$179,553,408",2014-03-31,"$175,380,779",2013-12-31,"$172,033,106",2013-09-30,"$171,609,928",2013-06-30,"$172,527,629",2013-03-31,"$173,566,088",2012-12-31
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",NA,NA,NA,NA,NA,NA,NA,NA,"$18,659,693",2015-06-30,"$18,697,294",2015-03-31,"$18,661,390",2014-12-31,"$18,583,327",2014-09-30,"$18,506,626",2014-06-30,"$18,435,035",2014-03-31,"$18,473,488",2013-12-31,"$18,481,150",2013-09-30,"$18,083,039",2013-06-30,"$17,967,174",2013-03-31,"$18,037,667",2012-12-31
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$43,147,945",2016-06-30,"$43,597,787",2016-03-31,"$44,698,667",2015-12-31,"$41,733,585",2015-09-30,"$40,244,261",2015-06-30,"$38,619,411",2015-03-31,"$39,351,768",2014-12-31,"$36,044,135",2014-09-30,"$33,322,533",2014-06-30,"$29,724,778",2014-03-31,"$26,417,306",2013-12-31,"$23,757,075",2013-09-30,"$22,165,054",2013-06-30,"$22,802,242",2013-03-31,"$22,766,602",2012-12-31
"SYNCHRONY FINANCIAL (4504654)","STAMFORD, CT","$82,384,173",2016-06-30,"$81,655,558",2016-03-31,"$84,135,487",2015-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$29,459,691",2016-06-30,"$29,171,257",2016-03-31,"$28,792,653",2015-12-31,"$28,167,827",2015-09-30,"$28,205,870",2015-06-30,"$27,633,784",2015-03-31,"$27,051,231",2014-12-31,"$26,519,110",2014-09-30,"$26,627,290",2014-06-30,"$26,435,426",2014-03-31,"$26,201,604",2013-12-31,"$26,218,360",2013-09-30,"$26,563,174",2013-06-30,"$26,212,879",2013-03-31,"$26,760,012",2012-12-31
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$21,081,736",2016-06-30,"$21,333,329",2016-03-31,"$20,703,190",2015-12-31,"$20,141,423",2015-09-30,"$19,851,826",2015-06-30,"$19,999,495",2015-03-31,"$19,427,476",2014-12-31,"$19,052,948",2014-09-30,"$18,889,866",2014-06-30,"$18,815,947",2014-03-31,"$18,402,494",2013-12-31,"$18,417,601",2013-09-30,"$18,432,662",2013-06-30,"$18,540,469",2013-03-31,"$18,281,032",2012-12-31
"TD BANK US HOLDING COMPANY (1249196)","CHERRY HILL, NJ",NA,NA,NA,NA,NA,NA,NA,NA,"$253,195,880",2015-06-30,"$252,650,828",2015-03-31,"$248,144,842",2014-12-31,"$242,225,156",2014-09-30,"$236,008,197",2014-06-30,"$237,493,754",2014-03-31,"$234,621,843",2013-12-31,NA,NA,NA,NA,NA,NA,NA,NA
"TD BANK US HOLDING COMPANY (1249196)","PORTLAND, ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$231,673,130",2013-09-30,"$228,945,721",2013-06-30,"$222,716,131",2013-03-31,"$218,916,640",2012-12-31
"TD GROUP US HOLDINGS LLC (3606542)","WILMINGTON, DE","$276,317,370",2016-06-30,"$274,386,676",2016-03-31,"$267,143,521",2015-12-31,"$261,164,836",2015-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$276,045,408",2016-06-30,"$272,101,594",2016-03-31,"$270,094,423",2015-12-31,"$268,247,053",2015-09-30,"$266,931,428",2015-06-30,"$264,300,422",2015-03-31,"$262,634,190",2014-12-31,"$261,389,220",2014-09-30,"$256,932,841",2014-06-30,"$252,936,464",2014-03-31,"$250,494,214",2013-12-31,"$247,467,518",2013-09-30,"$243,168,123",2013-06-30,"$239,972,203",2013-03-31,"$237,037,712",2012-12-31
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$21,081,024",2016-06-30,"$20,210,931",2016-03-31,"$18,909,174",2015-12-31,"$18,666,031",2015-09-30,"$17,817,384",2015-06-30,"$17,325,504",2015-03-31,"$15,900,308",2014-12-31,"$14,266,857",2014-09-30,"$13,532,830",2014-06-30,"$12,143,691",2014-03-31,"$11,714,698",2013-12-31,"$10,797,757",2013-09-30,"$10,978,295",2013-06-30,"$10,020,871",2013-03-31,"$10,540,873",2012-12-31
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$12,624,307",2016-06-30,"$12,466,521",2016-03-31,"$12,390,594",2015-12-31,"$12,368,842",2015-09-30,"$12,259,463",2015-06-30,"$12,133,651",2015-03-31,"$12,067,800",2014-12-31,"$11,803,153",2014-09-30,"$11,715,978",2014-06-30,"$11,534,400",2014-03-31,"$11,381,407",2013-12-31,"$11,269,306",2013-09-30,"$11,136,501",2013-06-30,"$11,121,723",2013-03-31,"$11,379,590",2012-12-31
"THRIVENT FINANCIAL FOR LUTHERANS (3173736)","MINNEAPOLIS, MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$70,540,953",2013-09-30,"$78,901,854",2013-06-30,"$79,537,291",2013-03-31,"$77,444,933",2012-12-31
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$13,030,349",2016-06-30,"$12,775,196",2016-03-31,"$12,678,896",2015-12-31,"$12,390,276",2015-09-30,"$12,182,448",2015-06-30,"$12,179,164",2015-03-31,"$12,250,633",2014-12-31,"$12,096,316",2014-09-30,"$12,119,996",2014-06-30,"$12,057,054",2014-03-31,"$11,790,383",2013-12-31,"$11,805,197",2013-09-30,"$11,863,312",2013-06-30,"$11,850,515",2013-03-31,NA,NA
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$438,463,000",2016-06-30,"$428,638,000",2016-03-31,"$421,853,000",2015-12-31,"$415,943,000",2015-09-30,"$419,075,000",2015-06-30,"$410,233,000",2015-03-31,"$402,529,000",2014-12-31,"$391,284,000",2014-09-30,"$389,065,000",2014-06-30,"$371,289,000",2014-03-31,"$364,021,000",2013-12-31,"$360,681,000",2013-09-30,"$353,415,000",2013-06-30,"$355,447,000",2013-03-31,"$353,855,000",2012-12-31
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$19,734,076",2016-06-30,"$19,302,913",2016-03-31,"$19,094,245",2015-12-31,"$18,597,965",2015-09-30,"$18,418,727",2015-06-30,"$16,730,123",2015-03-31,"$17,500,960",2014-12-31,"$16,284,028",2014-09-30,"$15,562,690",2014-06-30,"$15,945,830",2014-03-31,"$16,911,852",2013-12-31,"$16,184,233",2013-09-30,"$15,253,217",2013-06-30,"$15,705,470",2013-03-31,"$14,927,196",2012-12-31
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$24,132,600",2016-06-30,"$23,935,765",2016-03-31,"$23,387,248",2015-12-31,"$23,173,041",2015-09-30,"$22,805,994",2015-06-30,"$22,961,973",2015-03-31,"$22,622,204",2014-12-31,"$22,493,824",2014-09-30,"$22,066,064",2014-06-30,"$11,846,183",2014-03-31,"$11,641,151",2013-12-31,"$11,573,058",2013-09-30,"$11,396,288",2013-06-30,"$11,500,124",2013-03-31,"$11,804,699",2012-12-31
"UNIONBANCAL CORPORATION (1378434)","SAN FRANCISCO, CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$108,823,027",2014-06-30,"$107,237,659",2014-03-31,"$105,900,020",2013-12-31,"$105,492,129",2013-09-30,"$102,261,564",2013-06-30,"$96,959,643",2013-03-31,"$96,992,464",2012-12-31
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$14,338,012",2016-06-30,"$12,606,884",2016-03-31,"$12,577,944",2015-12-31,"$12,556,929",2015-09-30,"$12,414,566",2015-06-30,"$12,141,519",2015-03-31,"$12,328,811",2014-12-31,"$12,085,063",2014-09-30,"$12,051,710",2014-06-30,"$11,886,320",2014-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$144,819,412",2016-06-30,"$142,123,097",2016-03-31,"$137,186,701",2015-12-31,"$135,916,817",2015-09-30,"$134,222,822",2015-06-30,"$132,978,355",2015-03-31,"$130,416,573",2014-12-31,"$129,191,103",2014-09-30,"$129,066,684",2014-06-30,"$127,322,366",2014-03-31,"$122,342,355",2013-12-31,"$121,758,503",2013-09-30,"$120,296,114",2013-06-30,"$119,886,059",2013-03-31,"$115,747,377",2012-12-31
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$25,363,698",2016-06-30,"$25,082,990",2016-03-31,"$25,782,912",2015-12-31,"$26,163,730",2015-09-30,"$25,928,156",2015-06-30,"$36,244,050",2015-03-31,"$36,331,380",2014-12-31,"$37,231,381",2014-09-30,"$36,486,505",2014-06-30,"$45,551,256",2014-03-31,"$46,112,745",2013-12-31,"$52,259,755",2013-09-30,"$48,612,915",2013-06-30,"$48,613,134",2013-03-31,"$48,642,000",2012-12-31
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$21,809,738",2016-06-30,"$21,727,523",2016-03-31,"$21,612,616",2015-12-31,"$19,571,532",2015-09-30,"$19,290,005",2015-06-30,"$18,980,010",2015-03-31,"$18,793,855",2014-12-31,"$16,726,410",2014-09-30,"$16,335,967",2014-06-30,"$16,344,464",2014-03-31,"$16,156,541",2013-12-31,"$15,976,943",2013-09-30,"$15,977,202",2013-06-30,"$16,028,703",2013-03-31,"$16,012,646",2012-12-31
"W.R. BERKLEY CORPORATION (3065541)","GREENWICH, CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$20,155,896",2012-12-31
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,821,600",2016-06-30,"$14,670,823",2016-03-31,"$14,684,899",2015-12-31,"$14,568,324",2015-09-30,"$14,370,496",2015-06-30,"$14,611,019",2015-03-31,"$14,494,756",2014-12-31,"$14,756,041",2014-09-30,"$14,789,955",2014-06-30,"$14,364,599",2014-03-31,"$14,404,373",2013-12-31,"$13,082,859",2013-09-30,"$13,012,483",2013-06-30,"$13,115,833",2013-03-31,"$13,106,842",2012-12-31
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$25,131,298",2016-06-30,"$24,937,488",2016-03-31,"$24,694,548",2015-12-31,"$24,083,042",2015-09-30,"$23,644,664",2015-06-30,"$23,115,627",2015-03-31,"$22,545,351",2014-12-31,"$21,841,501",2014-09-30,"$21,531,479",2014-06-30,"$21,182,781",2014-03-31,"$20,856,659",2013-12-31,"$20,614,348",2013-09-30,"$20,334,463",2013-06-30,"$20,116,020",2013-03-31,"$20,152,255",2012-12-31
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,889,235,000",2016-06-30,"$1,849,182,000",2016-03-31,"$1,787,632,000",2015-12-31,"$1,751,265,000",2015-09-30,"$1,720,617,000",2015-06-30,"$1,737,737,000",2015-03-31,"$1,687,155,000",2014-12-31,"$1,636,855,000",2014-09-30,"$1,598,874,000",2014-06-30,"$1,546,707,000",2014-03-31,"$1,527,015,000",2013-12-31,"$1,488,055,000",2013-09-30,"$1,440,563,000",2013-06-30,"$1,436,634,000",2013-03-31,"$1,422,968,000",2012-12-31
"WESTERN ALLIANCE BANCORPORATION (2349815)","PHOENIX, AZ","$16,728,767",2016-06-30,"$15,248,039",2016-03-31,"$14,275,089",2015-12-31,"$13,955,570",2015-09-30,"$13,470,104",2015-06-30,"$11,251,943",2015-03-31,"$10,600,498",2014-12-31,"$10,288,824",2014-09-30,"$10,023,587",2014-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$24,427,295",2016-06-30,"$23,492,196",2016-03-31,"$22,926,284",2015-12-31,"$22,053,870",2015-09-30,"$20,816,905",2015-06-30,"$20,392,598",2015-03-31,"$20,032,438",2014-12-31,"$19,184,183",2014-09-30,"$18,911,548",2014-06-30,"$18,221,163",2014-03-31,"$18,097,783",2013-12-31,"$17,682,548",2013-09-30,"$17,613,546",2013-06-30,"$17,074,247",2013-03-31,"$17,519,613",2012-12-31
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$59,642,992",2016-06-30,"$59,179,913",2016-03-31,"$59,669,525",2015-12-31,"$58,410,927",2015-09-30,"$58,365,459",2015-06-30,"$57,555,931",2015-03-31,"$57,208,874",2014-12-31,"$55,458,870",2014-09-30,"$55,111,275",2014-06-30,"$56,080,844",2014-03-31,"$56,031,127",2013-12-31,"$55,188,312",2013-09-30,"$54,904,540",2013-06-30,"$54,110,564",2013-03-31,"$55,511,918",2012-12-31
