"Institution Name (RSSD ID)","Location","Total Assets 0","Date 0","Total Assets 1","Date 1","Total Assets 2","Date 2","Total Assets 3","Date 3","Total Assets 4","Date 4","Total Assets 5","Date 5","Total Assets 6","Date 6","Total Assets 7","Date 7","Total Assets 8","Date 8","Total Assets 9","Date 9","Total Assets 10","Date 10","Total Assets 11","Date 11","Total Assets 12","Date 12","Total Assets 13","Date 13","Total Assets 14","Date 14"
"BREMER FINANCIAL CORPORATION (1020180)","SAINT PAUL, MN","$11,340,612",2016-06-30,"$10,929,047",2016-03-31,"$10,723,184",2015-12-31,"$10,325,850",2015-09-30,"$10,063,759",2015-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$339,247,718",2016-06-30,"$330,489,235",2016-03-31,"$334,179,916",2015-12-31,"$313,827,584",2015-09-30,"$310,636,497",2015-06-30,"$306,501,324",2015-03-31,"$309,083,481",2014-12-31,"$300,444,020",2014-09-30,"$298,653,928",2014-06-30,"$290,886,180",2014-03-31,"$297,282,098",2013-12-31,"$290,217,687",2013-09-30,"$296,670,314",2013-06-30,"$300,293,699",2013-03-31,"$313,040,688",2012-12-31
"CAPITOL FEDERAL FINANCIAL, INC. (4226910)","TOPEKA, KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$10,040,460",2015-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$13,493,177",2016-06-30,"$13,262,019",2016-03-31,"$13,254,126",2015-12-31,"$12,749,966",2015-09-30,"$11,918,316",2015-06-30,"$11,910,089",2015-03-31,"$11,516,846",2014-12-31,"$11,599,466",2014-09-30,"$11,556,822",2014-06-30,"$11,291,188",2014-03-31,"$10,989,286",2013-12-31,"$10,821,446",2013-09-30,"$10,603,235",2013-06-30,"$10,520,715",2013-03-31,"$10,694,089",2012-12-31
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$12,292,830",2016-06-30,"$12,106,043",2016-03-31,"$12,041,047",2015-12-31,"$11,770,295",2015-09-30,"$11,674,358",2015-06-30,"$11,621,045",2015-03-31,NA,NA,"$10,967,840",2014-09-30,"$10,848,073",2014-06-30,"$10,793,363",2014-03-31,NA,NA,"$10,443,416",2013-09-30,"$10,481,397",2013-06-30,"$10,577,894",2013-03-31,NA,NA
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$198,052,000",2016-06-30,"$190,998,000",2016-03-31,"$183,718,000",2015-12-31,"$170,402,000",2015-09-30,"$163,627,000",2015-06-30,"$160,169,000",2015-03-31,"$154,642,000",2014-12-31,"$147,445,000",2014-09-30,"$143,401,000",2014-06-30,"$144,066,000",2014-03-31,"$143,642,000",2013-12-31,"$140,211,000",2013-09-30,"$135,907,000",2013-06-30,"$133,324,000",2013-03-31,"$133,637,000",2012-12-31
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$66,783,624",2016-06-30,"$67,188,228",2016-03-31,"$67,498,790",2015-12-31,"$68,125,502",2015-09-30,"$46,657,160",2015-06-30,"$46,416,005",2015-03-31,"$47,879,974",2014-12-31,"$46,480,980",2014-09-30,"$44,152,666",2014-06-30,"$48,578,081",2014-03-31,"$47,138,960",2013-12-31,"$46,223,981",2013-09-30,"$44,631,022",2013-06-30,"$44,563,888",2013-03-31,"$44,012,251",2012-12-31
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,818,771,000",2016-06-30,"$1,800,967,000",2016-03-31,"$1,731,210,000",2015-12-31,"$1,808,356,000",2015-09-30,"$1,829,370,000",2015-06-30,"$1,831,801,000",2015-03-31,"$1,842,181,000",2014-12-31,"$1,882,505,000",2014-09-30,"$1,909,369,000",2014-06-30,"$1,894,390,000",2014-03-31,"$1,880,035,000",2013-12-31,"$1,899,511,000",2013-09-30,"$1,883,988,000",2013-06-30,"$1,881,734,000",2013-03-31,"$1,864,660,000",2012-12-31
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$145,568,297",2016-06-30,"$140,409,385",2016-03-31,"$138,574,068",2015-12-31,"$135,811,131",2015-09-30,"$137,564,322",2015-06-30,"$136,905,651",2015-03-31,"$133,000,128",2014-12-31,"$131,520,691",2014-09-30,"$130,579,630",2014-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA",NA,NA,NA,NA,NA,NA,"$35,575,724",2015-09-30,"$33,760,498",2015-06-30,"$32,698,899",2015-03-31,"$32,610,363",2014-12-31,"$32,015,600",2014-09-30,"$30,819,092",2014-06-30,"$29,851,542",2014-03-31,"$29,717,951",2013-12-31,"$29,059,404",2013-09-30,"$27,379,501",2013-06-30,"$27,433,754",2013-03-31,"$28,618,492",2012-12-31
